epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5843932032585144,0.0010000000474974513,1.5363320112228394,0.7598473429679871,0.7264536023139954
1,0.6973506808280945,0.0010000000474974513,1.1154015064239502,0.7877852916717529,0.6370858550071716
2,0.7232022285461426,0.0010000000474974513,0.9941991567611694,0.8056119680404663,0.5746195316314697
3,0.7408995628356934,0.0010000000474974513,0.9962251782417297,0.813611626625061,0.5409157872200012
4,0.750564455986023,0.0010000000474974513,0.8826737999916077,0.8235198855400085,0.5256123542785645
5,0.7571349740028381,0.0010000000474974513,0.8415390849113464,0.8346462845802307,0.4975243806838989
6,0.76381915807724,0.0010000000474974513,0.8669418096542358,0.8415495753288269,0.4849143624305725
7,0.7697967886924744,0.0010000000474974513,0.837386429309845,0.8369203209877014,0.4802139699459076
8,0.7741987705230713,0.0010000000474974513,0.8428544998168945,0.8457321524620056,0.46224573254585266
9,0.7768383622169495,0.0010000000474974513,0.8442281484603882,0.8491837978363037,0.4529553949832916
10,0.781272828578949,0.0010000000474974513,0.7639560699462891,0.850523829460144,0.4486367106437683
11,0.7821987271308899,0.0010000000474974513,0.7152624726295471,0.8531633019447327,0.43973758816719055
12,0.7843753695487976,0.0010000000474974513,0.7678267955780029,0.8519856929779053,0.4427277743816376
13,0.7894757986068726,0.0010000000474974513,0.682887613773346,0.85957932472229,0.43137049674987793
14,0.7902392745018005,0.0010000000474974513,0.7697276473045349,0.8609193563461304,0.42462754249572754
15,0.7920666337013245,0.0010000000474974513,0.8442094922065735,0.8601884245872498,0.41778764128685
16,0.7937965989112854,0.0010000000474974513,0.738271176815033,0.8605945110321045,0.41233834624290466
17,0.7958676218986511,0.0010000000474974513,0.7057947516441345,0.8592544198036194,0.4186530113220215
18,0.7971671223640442,0.0010000000474974513,0.7891091108322144,0.8620563745498657,0.41482967138290405
19,0.799985408782959,0.0010000000474974513,0.6959981918334961,0.865061342716217,0.4062155485153198
20,0.8008543848991394,0.0010000000474974513,0.71547931432724,0.8646552562713623,0.40413689613342285
21,0.8027223944664001,0.0010000000474974513,0.6747432351112366,0.8674165606498718,0.40161556005477905
22,0.8046553730964661,0.0010000000474974513,0.7423839569091797,0.8713554739952087,0.3922182023525238
23,0.8055406808853149,0.0010000000474974513,0.7695103883743286,0.8676602244377136,0.3900020122528076
24,0.805418848991394,0.0010000000474974513,0.6528449654579163,0.8680662512779236,0.3892972469329834
25,0.8088218569755554,0.0010000000474974513,0.68704754114151,0.8711524605751038,0.3845154345035553
26,0.8092117309570312,0.0010000000474974513,0.7247200608253479,0.8687160015106201,0.38658204674720764
27,0.8081234097480774,0.0010000000474974513,0.6904516816139221,0.8719645738601685,0.3829861879348755
28,0.809162974357605,0.0010000000474974513,0.6884878277778625,0.8718021512031555,0.3799877464771271
29,0.8106086254119873,0.0010000000474974513,0.6876802444458008,0.8705839514732361,0.37895482778549194
30,0.811282753944397,0.0010000000474974513,0.632310688495636,0.8724924921989441,0.3786909282207489
31,0.8127527832984924,0.0010000000474974513,0.6623460054397583,0.8740761876106262,0.374627947807312
32,0.8138735890388489,0.0010000000474974513,0.7388862371444702,0.8744010329246521,0.3711587190628052
33,0.8140684962272644,0.0010000000474974513,0.5903177261352539,0.8740355968475342,0.3684923052787781
34,0.8143527507781982,0.0010000000474974513,0.6894912123680115,0.8761877417564392,0.3659695088863373
35,0.8158796429634094,0.0010000000474974513,0.6490339636802673,0.876471996307373,0.36573541164398193
36,0.8164400458335876,0.0010000000474974513,0.6220110654830933,0.876431405544281,0.36615121364593506
37,0.8160421252250671,0.0010000000474974513,0.6853431463241577,0.8769593238830566,0.36667272448539734
38,0.8165862560272217,0.0010000000474974513,0.6143668293952942,0.8810200691223145,0.36036837100982666
39,0.818137526512146,0.0010000000474974513,0.6034095883369446,0.8793145418167114,0.35862353444099426
40,0.8196806311607361,0.0010000000474974513,0.741860032081604,0.8801673054695129,0.3581509590148926
41,0.8210045099258423,0.0010000000474974513,0.7139925956726074,0.8808982372283936,0.3542814552783966
42,0.8206714987754822,0.0010000000474974513,0.6977566480636597,0.878502368927002,0.35810479521751404
43,0.8212156891822815,0.0010000000474974513,0.6872267723083496,0.8824819326400757,0.3509219288825989
44,0.8210369944572449,0.0010000000474974513,0.6859837174415588,0.8828067779541016,0.3511737287044525
45,0.8227344155311584,0.0010000000474974513,0.6692387461662292,0.8816291689872742,0.353801429271698
46,0.8214755654335022,0.0010000000474974513,0.6712585091590881,0.881913423538208,0.3521045446395874
47,0.8241963386535645,0.0010000000474974513,0.6513156890869141,0.883984386920929,0.35067829489707947
48,0.8234410285949707,0.0010000000474974513,0.6188179850578308,0.8845528960227966,0.343904048204422
49,0.8245130777359009,0.0010000000474974513,0.6067735552787781,0.8810200691223145,0.3461414873600006
50,0.8249191641807556,0.0010000000474974513,0.5901138186454773,0.8850402235984802,0.3427810072898865
51,0.8245618343353271,0.0010000000474974513,0.6062378287315369,0.8840250372886658,0.34185904264450073
52,0.8264948129653931,0.0010000000474974513,0.6120620369911194,0.8838625550270081,0.34132838249206543
53,0.8265191912651062,0.0010000000474974513,0.6244237422943115,0.8845935463905334,0.34172794222831726
54,0.8259668946266174,0.0010000000474974513,0.6548424959182739,0.8870299458503723,0.3368399441242218
55,0.8264054656028748,0.0010000000474974513,0.6175501942634583,0.8878827095031738,0.33923500776290894
56,0.8277780413627625,0.0010000000474974513,0.6566451787948608,0.8885730504989624,0.3348577916622162
57,0.827623724937439,0.0010000000474974513,0.6876604557037354,0.8856493234634399,0.33996549248695374
58,0.8270795941352844,0.0010000000474974513,0.641028642654419,0.8843904733657837,0.33923664689064026
59,0.8288501501083374,0.0010000000474974513,0.5821909308433533,0.887395441532135,0.3347456455230713
60,0.8294592499732971,0.0010000000474974513,0.6011055111885071,0.8886136412620544,0.3347114622592926
61,0.8290125727653503,0.0010000000474974513,0.5676430463790894,0.8893852233886719,0.332853227853775
62,0.8299871683120728,0.0010000000474974513,0.6587411761283875,0.8897100687026978,0.3300270736217499
63,0.8301171064376831,0.0010000000474974513,0.6724843382835388,0.8897912502288818,0.3270808458328247
64,0.8304826021194458,0.0010000000474974513,0.5647737979888916,0.8886542916297913,0.3307209014892578
65,0.8303688764572144,0.0010000000474974513,0.6266152262687683,0.8886948823928833,0.32960593700408936
66,0.8310348987579346,0.0010000000474974513,0.5986598134040833,0.8869893550872803,0.33258694410324097
67,0.8318957686424255,0.0010000000474974513,0.612147867679596,0.8891415596008301,0.3313361704349518
68,0.832813560962677,0.0010000000474974513,0.5895876884460449,0.8897100687026978,0.324198842048645
69,0.8326185941696167,0.0010000000474974513,0.5500344038009644,0.8890603184700012,0.32811376452445984
70,0.8328216671943665,0.0010000000474974513,0.6299525499343872,0.891009509563446,0.3263549208641052
71,0.8329759836196899,0.0010000000474974513,0.5686517357826233,0.8912531733512878,0.32566994428634644
72,0.833820641040802,0.0010000000474974513,0.5472860932350159,0.8891821503639221,0.3273415267467499
73,0.8335444927215576,0.0010000000474974513,0.5418327450752258,0.8916592001914978,0.32637840509414673
74,0.834316074848175,0.0010000000474974513,0.609815239906311,0.8884106278419495,0.32560718059539795
75,0.8341779708862305,0.0010000000474974513,0.6556680202484131,0.8932835459709167,0.320573091506958
76,0.8362734317779541,0.0010000000474974513,0.6830901503562927,0.8914155960083008,0.321819543838501
77,0.8350226879119873,0.0010000000474974513,0.6098521947860718,0.8921871185302734,0.3193206787109375
78,0.8339505791664124,0.0010000000474974513,0.659201979637146,0.8901161551475525,0.32273462414741516
79,0.8367525935173035,0.0010000000474974513,0.5636687278747559,0.8937708139419556,0.31746572256088257
80,0.8362246751785278,0.0010000000474974513,0.5780749917030334,0.8924307823181152,0.31977441906929016
81,0.8365252017974854,0.0010000000474974513,0.5997118353843689,0.892918050289154,0.3179816007614136
82,0.8351932168006897,0.0010000000474974513,0.6483201384544373,0.8927556276321411,0.32004112005233765
83,0.8363870978355408,0.0010000000474974513,0.5548524856567383,0.8919028639793396,0.318783700466156
84,0.8378084301948547,0.0010000000474974513,0.5868820548057556,0.8923089504241943,0.3203876316547394
85,0.837296724319458,0.0010000000474974513,0.6588132381439209,0.893121063709259,0.315839946269989
86,0.8369312882423401,0.0010000000474974513,0.5594286322593689,0.8947047591209412,0.3152198791503906
87,0.8376703262329102,0.0010000000474974513,0.5650813579559326,0.8960448503494263,0.31251293420791626
88,0.8377028703689575,0.0010000000474974513,0.6338216662406921,0.8931617140769958,0.31558340787887573
89,0.8380845785140991,0.0010000000474974513,0.5814148783683777,0.8927150368690491,0.32155245542526245
90,0.8381739258766174,0.0010000000474974513,0.5694898366928101,0.8941362500190735,0.31545400619506836
91,0.8396033048629761,0.0010000000474974513,0.6284648776054382,0.8948265910148621,0.3146003782749176
92,0.8388804793357849,0.0010000000474974513,0.5420138835906982,0.894582986831665,0.31286585330963135
93,0.8392622470855713,0.0010000000474974513,0.6044589281082153,0.8953545093536377,0.313656210899353
94,0.8377190828323364,0.0010000000474974513,0.6644888520240784,0.8957199454307556,0.31290990114212036
95,0.8463850021362305,0.0005000000237487257,0.535283088684082,0.8981564044952393,0.30075639486312866
96,0.8475301861763,0.0005000000237487257,0.6449215412139893,0.8989279866218567,0.30043092370033264
97,0.8481392860412598,0.0005000000237487257,0.5864580273628235,0.898562490940094,0.30003613233566284
98,0.8482773900032043,0.0005000000237487257,0.577826201915741,0.9006741046905518,0.2971510887145996
99,0.8478550314903259,0.0005000000237487257,0.5567318797111511,0.9001867771148682,0.2959291636943817
100,0.848496675491333,0.0005000000237487257,0.5182618498802185,0.8998619318008423,0.29695814847946167
101,0.8487321734428406,0.0005000000237487257,0.49987515807151794,0.9010801315307617,0.2955634295940399
102,0.8485616445541382,0.0005000000237487257,0.4962644577026367,0.90043044090271,0.2948755919933319
103,0.8489189743995667,0.0005000000237487257,0.5379559397697449,0.9016892910003662,0.29509568214416504
104,0.8479524850845337,0.0005000000237487257,0.6039192080497742,0.9003898501396179,0.2927880883216858
105,0.8487321734428406,0.0005000000237487257,0.50884610414505,0.9012832045555115,0.2937595546245575
106,0.8490895628929138,0.0005000000237487257,0.5436407327651978,0.9013643860816956,0.2928624451160431
107,0.8496580719947815,0.0005000000237487257,0.5169495344161987,0.9028263092041016,0.2905827760696411
108,0.8494144082069397,0.0005000000237487257,0.612490177154541,0.9014456272125244,0.29385441541671753
109,0.8506895303726196,0.0005000000237487257,0.5855686068534851,0.9005928635597229,0.29259181022644043
110,0.8492600917816162,0.0005000000237487257,0.5633525252342224,0.9026232361793518,0.2942076027393341
111,0.8495931029319763,0.0005000000237487257,0.5983796119689941,0.9013237953186035,0.29065659642219543
112,0.849463164806366,0.0005000000237487257,0.5084087252616882,0.9019328951835632,0.2903996407985687
113,0.8504458665847778,0.0005000000237487257,0.6102361679077148,0.9025420546531677,0.2894659638404846
114,0.8488864898681641,0.0005000000237487257,0.5545398592948914,0.9018111228942871,0.2913113236427307
115,0.8497555255889893,0.0005000000237487257,0.5703450441360474,0.9012832045555115,0.2908206880092621
116,0.8508519530296326,0.0005000000237487257,0.4625610411167145,0.904044508934021,0.28862568736076355
117,0.8517372608184814,0.0005000000237487257,0.4845408797264099,0.9018111228942871,0.2898845672607422
118,0.8499748110771179,0.0005000000237487257,0.5569711327552795,0.9043287634849548,0.2882019877433777
119,0.8517290949821472,0.0005000000237487257,0.4977688193321228,0.9009583592414856,0.2878910303115845
